text,poster,views,comments,length,link,users
 Thailand: Foreman Slips Fatally Hitting His Head Falling into Waste Water (2 Came... ,sally,8.9K Views,8 Comments,0:52,https://theworldwatch.com/videos/1619455/thailand-foreman-slips-fatally-hitting-his-head-falling-into-waste-water/,"{' ': 'No link available', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Pleaseevolve777': 'https://theworldwatch.com/members/1324205/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'The_Carcass_Kid': 'https://theworldwatch.com/members/1323232/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/', 'Dan': 'https://theworldwatch.com/members/2/', 'Cripple': 'https://theworldwatch.com/members/1320263/'}"
" Crazy: Vietnam, Tongue of Fire Hits Girl as Dad Sprays Oil on Dinner ",The Seer,6.9K Views,15 Comments,0:10,https://theworldwatch.com/videos/1619457/crazy-vietnam-tongue-of-fire-hits-girl-as-dad-sprays-oil-on-dinner/,"{' ': 'No link available', 'Nightrider2.0': 'https://theworldwatch.com/members/1324577/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'pastrulo': 'https://theworldwatch.com/members/683045/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'HateYew': 'https://theworldwatch.com/members/1322688/', 'PeterG82': 'https://theworldwatch.com/members/1324405/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'SpunkyNuts': 'https://theworldwatch.com/members/1323795/', 'Pleaseevolve777': 'https://theworldwatch.com/members/1324205/', 'ScreaminMime': 'https://theworldwatch.com/members/1323106/', 'pokahounted': 'https://theworldwatch.com/members/1323713/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/'}"
" More Mistakes, More Death...Motorcyclist Killed on Shoulder of Highway (Blind Spot) ",The Seer,2.3K Views,4 Comments,0:25,https://theworldwatch.com/videos/1619468/more-mistakes-more-death-motorcyclist-killed-on-shoulder-of-highway-blind-spot/,"{' ': 'No link available', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'HateYew': 'https://theworldwatch.com/members/1322688/', 'Soft Killing': 'https://theworldwatch.com/members/1321608/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/'}"
 Super Hero Customer Hops the Counter to Deliver Right Hand to Robber ,The Seer,4.4K Views,7 Comments,0:37,https://theworldwatch.com/videos/1619469/super-hero-customer-hops-the-counter-to-deliver-right-hand-to-robber/,"{' ': 'No link available', 'Cripple': 'https://theworldwatch.com/members/1320263/', 'FrankKrank': 'https://theworldwatch.com/members/1321147/', 'Nightrider2.0': 'https://theworldwatch.com/members/1324577/', 'pastrulo': 'https://theworldwatch.com/members/683045/', 'Nutmeg50': 'https://theworldwatch.com/members/151757/', 'phergus': 'https://theworldwatch.com/members/1320629/', 'HelloMonkeyyy': 'https://theworldwatch.com/members/1319989/'}"
 Wife catches Husband Naked in Bed with Fat Girl and goes Nuts ,sally,6.2K Views,15 Comments,0:27,https://theworldwatch.com/videos/1619462/wife-catches-husband-naked-in-bed-with-fat-girl-and-goes-nuts/,"{' ': 'No link available', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'SilanganinPhilippino': 'https://theworldwatch.com/members/1322990/', 'BigJimsWornOutTireSale': 'https://theworldwatch.com/members/1323681/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'phuckislam': 'https://theworldwatch.com/members/1324254/', 'Disknave': 'https://theworldwatch.com/members/1324535/'}"
" Oxnard Police Fire Beanbag round, Taser at wanted Man before Shooting Him...Brutal... ",Philligan,2.8K Views,13 Comments,2:24,https://theworldwatch.com/videos/1619466/oxnard-police-fire-beanbag-round-taser-at-wanted-man-before-shooting-him-brutal-bodycams-of-event/,"{' ': 'No link available', 'Elwapito': 'https://theworldwatch.com/members/1324617/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'phuckislam': 'https://theworldwatch.com/members/1324254/', 'EatMyShortsYo': 'https://theworldwatch.com/members/1322632/', 'Nanker_Phelge': 'https://theworldwatch.com/members/1321011/', 'Disknave': 'https://theworldwatch.com/members/1324535/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'Dippy': 'https://theworldwatch.com/members/1324004/'}"
 Shock Saturday: Mom pushing Baby Stroller has her Life Ruined by Stranger. Stron... ,sally,3.5K Views,7 Comments,0:51,https://theworldwatch.com/videos/1619477/shock-saturday-mom-pushing-baby-stroller-has-her-life-ruined-by-stranger-strong-images/,"{' ': 'No link available', 'ChrisP.Bacon': 'https://theworldwatch.com/members/1322967/', 'Nightrider2.0': 'https://theworldwatch.com/members/1324577/', 'EatMyShortsYo': 'https://theworldwatch.com/members/1322632/', 'HateYew': 'https://theworldwatch.com/members/1322688/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'Saturn666': 'https://theworldwatch.com/members/1323292/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/'}"
 Blagoveshchensk Russia. Minivan Drunk Driver Runs over Entire Crowd Killing Many ... ,The Seer,3.6K Views,8 Comments,1:29,https://theworldwatch.com/videos/1619434/blagoveshchensk-russia-minivan-drunk-driver-runs-over-entire-crown-killing-many-see-aftermath/,"{' ': 'No link available', 'Cripple': 'https://theworldwatch.com/members/1320263/', 'Mark_ey': 'https://theworldwatch.com/members/1321844/', 'Kribaca117': 'https://theworldwatch.com/members/1320921/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'GayeKundt': 'https://theworldwatch.com/members/1324010/', 'Chucknorrit': 'https://theworldwatch.com/members/1323808/', 'FNV90': 'https://theworldwatch.com/members/1324499/'}"
 Does Anyone want to Help Her on How to Use this Machine? ,sally,4.0K Views,6 Comments,0:09,https://theworldwatch.com/videos/1619473/does-anyone-want-to-help-her-on-how-to-use-this-machine/,"{' ': 'No link available', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'MaxiePaddy': 'https://theworldwatch.com/members/871125/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Saturn666': 'https://theworldwatch.com/members/1323292/', 'speedbird747': 'https://theworldwatch.com/members/1323482/'}"
 Man becomes Death Ornament for City in Colombia ,Philligan,1.9K Views,3 Comments,0:55,https://theworldwatch.com/videos/1619459/man-becomes-death-ornament-for-city-in-colombia/,"{' ': 'No link available', 'Nightrider2.0': 'https://theworldwatch.com/members/1324577/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/'}"
 New Mexico Police Officer Fired for Murdering Unarmed Woman who Drove Away ,The Seer,3.2K Views,18 Comments,1:15,https://theworldwatch.com/videos/1619476/new-mexico-police-officer-fired-for-murdering-unarmed-woman-who-drove-away/,"{' ': 'No link available', 'trumprapedawoman': 'https://theworldwatch.com/members/1324643/', 'Bill D. Wall': 'https://theworldwatch.com/members/1324602/', 'venomx7373': 'https://theworldwatch.com/members/1319202/', 'runovermeagain': 'https://theworldwatch.com/members/1323412/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'phuckislam': 'https://theworldwatch.com/members/1324254/', 'HateYew': 'https://theworldwatch.com/members/1322688/', 'Mark_ey': 'https://theworldwatch.com/members/1321844/', 'Espike10': 'https://theworldwatch.com/members/1324166/', 'MaxiePaddy': 'https://theworldwatch.com/members/871125/', 'Smores69': 'https://theworldwatch.com/members/1323937/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/'}"
 Uncivilized Animals Attack Ride Technician at an Amusement Park ,Karelin,3.8K Views,11 Comments,3:34,https://theworldwatch.com/videos/1619450/uncivilized-animals-attack-ride-technician-at-an-amusement-park/,"{' ': 'No link available', 'AryanAzog': 'https://theworldwatch.com/members/1324641/', 'Bill D. Wall': 'https://theworldwatch.com/members/1324602/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Disknave': 'https://theworldwatch.com/members/1324535/', 'Mark_ey': 'https://theworldwatch.com/members/1321844/', 'MaxiePaddy': 'https://theworldwatch.com/members/871125/', 'Cripple': 'https://theworldwatch.com/members/1320263/', 'HateYew': 'https://theworldwatch.com/members/1322688/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/'}"
 Oblivious Woman High as a Kite from Sucking Aerosol Cans after Accident ,The Seer,4.4K Views,11 Comments,0:39,https://theworldwatch.com/videos/1619470/oblivious-woman-high-as-a-kite-from-sucking-aerosol-cans-after-accident/,"{' ': 'No link available', 'Southcentraltimes': 'https://theworldwatch.com/members/1323445/', 'SicBoy': 'https://theworldwatch.com/members/1324486/', 'BigJimsWornOutTireSale': 'https://theworldwatch.com/members/1323681/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/', 'EatMyShortsYo': 'https://theworldwatch.com/members/1322632/', 'MaxiePaddy': 'https://theworldwatch.com/members/871125/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/'}"
 Girl so High she can't even pull up Her Pants ,The Seer,7.8K Views,7 Comments,0:35,https://theworldwatch.com/videos/1619471/girl-so-high-she-can-t-even-pull-up-her-pants/,"{' ': 'No link available', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'Mark_ey': 'https://theworldwatch.com/members/1321844/', 'Bigprez3g': 'https://theworldwatch.com/members/1324202/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Soft Killing': 'https://theworldwatch.com/members/1321608/'}"
 Colombia: Elderly Man Shoots Himself with .38 Revolver ,The Seer,2.6K Views,6 Comments,1:10,https://theworldwatch.com/videos/1619432/colombia-elderly-man-shoots-himself-with-38-revolver/,"{' ': 'No link available', 'EatMyShortsYo': 'https://theworldwatch.com/members/1322632/', 'Bill D. Wall': 'https://theworldwatch.com/members/1324602/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'Jasondr91': 'https://theworldwatch.com/members/623283/'}"
 Fireworks...2 Indians Blown Off their Motorcycle and a Woman Killed by Firework in... ,The Seer,2.5K Views,7 Comments,0:32,https://theworldwatch.com/videos/1619446/fireworks-2-indians-blown-off-their-motorcycle-and-a-woman-hit-by-firework-in-front-of-her-kids/,"{' ': 'No link available', 'Whitemyass': 'https://theworldwatch.com/members/1321446/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'pokahounted': 'https://theworldwatch.com/members/1323713/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/'}"
 A talking cat ,Swerty,9.0K Views,25 Comments,0:07,https://theworldwatch.com/videos/1619444/a-talking-cat/,"{' ': 'No link available', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'ubi': 'https://theworldwatch.com/members/701423/', 'phuckislam': 'https://theworldwatch.com/members/1324254/', 'wmr2': 'https://theworldwatch.com/members/1319316/', 'nleeklee': 'https://theworldwatch.com/members/1318980/', 'Frerty': 'https://theworldwatch.com/members/1321479/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'MaxiePaddy': 'https://theworldwatch.com/members/871125/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'cpartida': 'https://theworldwatch.com/members/1321306/', 'BigJimsWornOutTireSale': 'https://theworldwatch.com/members/1323681/', 'OwMyBawls': 'https://theworldwatch.com/members/1322964/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'Blindeel': 'https://theworldwatch.com/members/1324151/', 'FNV90': 'https://theworldwatch.com/members/1324499/', 'Jasondr91': 'https://theworldwatch.com/members/623283/', 'Inaminute': 'https://theworldwatch.com/members/1322078/'}"
 Plainclothes Police Officer defended Herself with Gunfire against an Attempted Rob... ,sally,4.5K Views,6 Comments,0:46,https://theworldwatch.com/videos/1619423/plainclothes-police-officer-defended-herself-with-gunfire-against-an-attempted-robbery/,"{' ': 'No link available', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Inaminute': 'https://theworldwatch.com/members/1322078/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/'}"
 Mumbai Resident's Horror after discovering a Human Finger in her Cone of Ice Cream ,The Seer,2.9K Views,6 Comments,0:09,https://theworldwatch.com/videos/1619430/mumbai-resident-s-horror-after-discovering-a-human-finger-in-her-cone-of-ice-cream/,"{' ': 'No link available', 'Motherfocker78': 'https://theworldwatch.com/members/1321367/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'Jasondr91': 'https://theworldwatch.com/members/623283/', 'BigJimsWornOutTireSale': 'https://theworldwatch.com/members/1323681/'}"
 Moment when Amusement Park Ride goes Off the Rails..sending One Man in the Air ,The Seer,4.5K Views,8 Comments,0:23,https://theworldwatch.com/videos/1619420/moment-when-amusement-park-ride-goes-off-the-rails-sending-one-man-in-the-air/,"{' ': 'No link available', 'Bill D. Wall': 'https://theworldwatch.com/members/1324602/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'EatMyShortsYo': 'https://theworldwatch.com/members/1322632/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'porksledge': 'https://theworldwatch.com/members/1324029/', 'Cripple': 'https://theworldwatch.com/members/1320263/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/'}"
 Tik-Tok Guy Films his Friend's End of Life (Extended) ,sally,6.3K Views,8 Comments,0:30,https://theworldwatch.com/videos/1619443/tik-tok-guy-films-his-friend-s-end-of-life-extended/,"{' ': 'No link available', 'Smores69': 'https://theworldwatch.com/members/1323937/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'MaxiePaddy': 'https://theworldwatch.com/members/871125/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'porksledge': 'https://theworldwatch.com/members/1324029/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/', 'venicio': 'https://theworldwatch.com/members/1323404/'}"
 Crazy Boyfriend Beats the Heck out of Man who took his Girlfriends Beer ,Philligan,4.2K Views,7 Comments,0:32,https://theworldwatch.com/videos/1619421/crazy-boyfriend-beats-the-heck-out-of-man-who-took-his-girlfriends-beer/,"{' ': 'No link available', 'JoE7777': 'https://theworldwatch.com/members/1324559/', 'meinKlitorus': 'https://theworldwatch.com/members/1319071/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'watchful': 'https://theworldwatch.com/members/1324241/', 'Bill D. Wall': 'https://theworldwatch.com/members/1324602/'}"
 Woman Run Over by Truck in Horrific Way more than Once ,The Seer,2.2K Views,2 Comments,0:22,https://theworldwatch.com/videos/1619422/woman-run-over-by-truck-in-horrific-way-more-than-once/,"{' ': 'No link available', 'Cripple': 'https://theworldwatch.com/members/1320263/'}"
 G-String Wearing Blonde Humps Sunroof with a BABY in the Car ,HMG87,2.9K Views,18 Comments,0:16,https://theworldwatch.com/videos/1619438/g-string-wearing-blonde-humps-sunroof-with-a-baby-in-the-car/,"{' ': 'No link available', 'Motorrunner223': 'https://theworldwatch.com/members/1323161/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'BigJimsWornOutTireSale': 'https://theworldwatch.com/members/1323681/', 'flash1965': 'https://theworldwatch.com/members/1323052/', 'Inaminute': 'https://theworldwatch.com/members/1322078/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'Jasondr91': 'https://theworldwatch.com/members/623283/', 'Salinan': 'https://theworldwatch.com/members/1320115/', 'Soft Killing': 'https://theworldwatch.com/members/1321608/', 'FNV90': 'https://theworldwatch.com/members/1324499/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/'}"
 WOW: Employee with NO Hesitation Shoots Thug tryingto Rob Store ,sally,13K Views,36 Comments,0:53,https://theworldwatch.com/videos/1619424/wow-employee-with-no-hesitation-shoots-thug-tryingto-rob-store/,"{' ': 'No link available', 'i_am_never_wrong': 'https://theworldwatch.com/members/1324178/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'NoWayInHell': 'https://theworldwatch.com/members/1322638/', 'The_Carcass_Kid': 'https://theworldwatch.com/members/1323232/', 'VeryFamous123': 'https://theworldwatch.com/members/1320804/', 'ubi': 'https://theworldwatch.com/members/701423/', 'wmr2': 'https://theworldwatch.com/members/1319316/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'Nutmeg50': 'https://theworldwatch.com/members/151757/', 'ivan joyderbum': 'https://theworldwatch.com/members/587483/', 'flash1965': 'https://theworldwatch.com/members/1323052/', 'OwMyBawls': 'https://theworldwatch.com/members/1322964/', 'Trentcam': 'https://theworldwatch.com/members/1323399/', 'St3venJacks0n': 'https://theworldwatch.com/members/1321693/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Hungwhitemale4tw': 'https://theworldwatch.com/members/1323643/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'marr708': 'https://theworldwatch.com/members/1319826/', 'speedbird747': 'https://theworldwatch.com/members/1323482/', 'GayeKundt': 'https://theworldwatch.com/members/1324010/', 'Jasondr91': 'https://theworldwatch.com/members/623283/', 'TortureAndKillAllConspiracyCunts': 'https://theworldwatch.com/members/1321759/', 'Chucknorrit': 'https://theworldwatch.com/members/1323808/', 'Dippy': 'https://theworldwatch.com/members/1324004/', 'Cripple': 'https://theworldwatch.com/members/1320263/', 'Tyranical': 'https://theworldwatch.com/members/1322796/'}"
 Nashville Cop Arrested After Starring in an OnlyFans Video in Uniform While on Duty ,Karelin,5.8K Views,8 Comments,1:00,https://theworldwatch.com/videos/1619412/nashville-cop-arrested-after-starring-in-an-onlyfans-video-in-uniform-while-on-duty/,"{' ': 'No link available', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Speak1': 'https://theworldwatch.com/members/1324252/', 'Flagship': 'https://theworldwatch.com/members/1324417/', 'Mark_R': 'https://theworldwatch.com/members/1324164/', 'prince of trolls': 'https://theworldwatch.com/members/1322284/'}"
" Attack of a Woman in India, apparently intentional. ",Philligan,2.1K Views,2 Comments,0:38,https://theworldwatch.com/videos/1619437/attack-of-a-woman-in-india-apparently-intentional/,"{' ': 'No link available', 'WessyD': 'https://theworldwatch.com/members/1324564/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/'}"
 DAMN: Suicidal Deer Jumps Head First Through a Bus. ,Karelin,1.8K Views,3 Comments,0:12,https://theworldwatch.com/videos/1619413/damn-suicidal-deer-jumps-head-first-through-a-bus/,"{' ': 'No link available', 'WessyD': 'https://theworldwatch.com/members/1324564/', 'porksledge': 'https://theworldwatch.com/members/1324029/', 'Mark_R': 'https://theworldwatch.com/members/1324164/'}"
 Their Autistic Son Got a Survey About Sex and Trans Nonsense...They Didn't Like That. ,Karelin,2.6K Views,7 Comments,5:33,https://theworldwatch.com/videos/1619451/their-autistic-son-got-a-survey-about-sex-and-trans-nonsense-they-didn-t-like-that/,"{' ': 'No link available', 'WessyD': 'https://theworldwatch.com/members/1324564/', 'runovermeagain': 'https://theworldwatch.com/members/1323412/', 'nleeklee': 'https://theworldwatch.com/members/1318980/', 'Salinan': 'https://theworldwatch.com/members/1320115/', 'southgate': 'https://theworldwatch.com/members/1322285/', 'Nanker_Phelge': 'https://theworldwatch.com/members/1321011/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/'}"
 Inmate Stabs Corrections officer with Jail Made Shank ,Karelin,3.9K Views,3 Comments,0:18,https://theworldwatch.com/videos/1619449/inmate-stabs-corrections-officer-with-jail-made-shank/,"{' ': 'No link available', 'venomx7373': 'https://theworldwatch.com/members/1319202/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'VeryFamous123': 'https://theworldwatch.com/members/1320804/'}"
 Happy Saturday TWW! Have a Wonderful Weekend...She Will ,The Seer,3.0K Views,3 Comments,0:11,https://theworldwatch.com/videos/1619461/happy-saturday-tww-have-a-wonderful-weekend-she-will/,"{' ': 'No link available', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/'}"
 Just Big for nothing ,Amine666world,5.9K Views,15 Comments,0:48,https://theworldwatch.com/videos/1619447/just-big-for-nothing/,"{' ': 'No link available', 'Cripple': 'https://theworldwatch.com/members/1320263/', 'pastrulo': 'https://theworldwatch.com/members/683045/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'Blindeel': 'https://theworldwatch.com/members/1324151/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/', 'Jasondr91': 'https://theworldwatch.com/members/623283/', 'venicio': 'https://theworldwatch.com/members/1323404/', 'pokahounted': 'https://theworldwatch.com/members/1323713/', 'Nanker_Phelge': 'https://theworldwatch.com/members/1321011/'}"
 FREAKY Redhead in Aisle 3. She is having so much Fun in this Supermarket ,The Seer,21K Views,20 Comments,1:00,https://theworldwatch.com/videos/1619475/freaky-redhead-in-aisle-3-she-is-having-so-much-fun-in-this-supermarket/,"{' ': 'No link available', 'Ultraphonics': 'https://theworldwatch.com/members/1324638/', 'rubber_cockroach': 'https://theworldwatch.com/members/1322017/', 'FNV90': 'https://theworldwatch.com/members/1324499/', 'HateYew': 'https://theworldwatch.com/members/1322688/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'Mark_ey': 'https://theworldwatch.com/members/1321844/', 'Pleaseevolve777': 'https://theworldwatch.com/members/1324205/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'Salinan': 'https://theworldwatch.com/members/1320115/', 'Bigprez3g': 'https://theworldwatch.com/members/1324202/', 'NoWayInHell': 'https://theworldwatch.com/members/1322638/', 'prince of trolls': 'https://theworldwatch.com/members/1322284/', 'Soft Killing': 'https://theworldwatch.com/members/1321608/', 'ScreaminMime': 'https://theworldwatch.com/members/1323106/'}"
 Moscow: Man loading Van in Street is Killed Violently ,Philligan,2.8K Views,3 Comments,0:29,https://theworldwatch.com/videos/1619460/moscow-man-loading-van-in-street-is-killed-violently/,"{' ': 'No link available', 'Nutmeg50': 'https://theworldwatch.com/members/151757/', 'HateYew': 'https://theworldwatch.com/members/1322688/', 'Cripple': 'https://theworldwatch.com/members/1320263/'}"
 The PROPER Technique for a Close Grip Bench Press of your Girlfriend ,HMG87,3.0K Views,6 Comments,0:26,https://theworldwatch.com/videos/1619472/the-proper-technique-for-a-close-grip-bench-press/,"{' ': 'No link available', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Pleaseevolve777': 'https://theworldwatch.com/members/1324205/', 'Bigprez3g': 'https://theworldwatch.com/members/1324202/'}"
 WHOA: 30 People Get Trapped Upside Down on an Amusement Park Ride in Portland ,Karelin,39K Views,11 Comments,0:51,https://theworldwatch.com/videos/1619452/whoa-30-people-get-trapped-upside-down-on-an-amusement-park-ride-in-portland/,"{' ': 'No link available', 'Numiah': 'https://theworldwatch.com/members/4655/', 'Flagship': 'https://theworldwatch.com/members/1324417/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'WessyD': 'https://theworldwatch.com/members/1324564/', 'johnmick': 'https://theworldwatch.com/members/1324606/', 'Pleaseevolve777': 'https://theworldwatch.com/members/1324205/', 'TortureAndKillAllConspiracyCunts': 'https://theworldwatch.com/members/1321759/', 'Cripple': 'https://theworldwatch.com/members/1320263/'}"
 Man Runs over Elderly Man..gets Out of the Car and moves the Body ,HMG87,2.3K Views,4 Comments,0:59,https://theworldwatch.com/videos/1619431/man-runs-over-elderly-man-gets-out-of-the-car-and-moves-the-body/,"{' ': 'No link available', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'essence25': 'https://theworldwatch.com/members/909290/', 'Hungwhitemale4tw': 'https://theworldwatch.com/members/1323643/'}"
 Full Unedited: Girl Accused of Killing Taxi Driver is Beaten and Set on Fire in G... ,The Seer,10K Views,15 Comments,4:39,https://theworldwatch.com/videos/1619478/full-unedited-girl-accused-of-killing-taxi-driver-is-beaten-and-set-on-fire-in-guatemala/,"{' ': 'No link available', 'UseOnlyInWellVentilatedSpaces': 'https://theworldwatch.com/members/1321435/', 'pastrulo': 'https://theworldwatch.com/members/683045/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'wmr2': 'https://theworldwatch.com/members/1319316/', 'Salinan': 'https://theworldwatch.com/members/1320115/', 'Mark_ey': 'https://theworldwatch.com/members/1321844/', 'Disknave': 'https://theworldwatch.com/members/1324535/', 'Pleaseevolve777': 'https://theworldwatch.com/members/1324205/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'GayeKundt': 'https://theworldwatch.com/members/1324010/', 'EatMyShortsYo': 'https://theworldwatch.com/members/1322632/'}"
 In a Favela in Brazil...Dead Man hangs like a Pair of Sneakers (Stealing Copper) ,The Seer,1.2K Views,2 Comments,0:45,https://theworldwatch.com/videos/1619465/in-a-favela-in-brazil-dead-man-hangs-like-a-pair-of-sneakers-stealing-copper/,"{' ': 'No link available', 'HateYew': 'https://theworldwatch.com/members/1322688/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/'}"
 Bride is Mistreated by Groom...Brothers of the Bride don't Like It ,sally,6.4K Views,10 Comments,0:23,https://theworldwatch.com/videos/1619464/bride-is-mistreated-by-groom-brothers-of-the-bride-don-t-like-it/,"{' ': 'No link available', 'Nightrider2.0': 'https://theworldwatch.com/members/1324577/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'speedbird747': 'https://theworldwatch.com/members/1323482/', 'EatMyShortsYo': 'https://theworldwatch.com/members/1322632/', 'Bigprez3g': 'https://theworldwatch.com/members/1324202/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/'}"
